Student_ID,Student_Name,Branch,CGPA,Skills,Company,Salary_LPA,Placement_Status,Year
STU0200,Student 0200,ME,5.96,"Excel, AWS, Data Analysis, Java",Not Placed,0.0,Not Placed,2025
STU0201,Student 0201,EEE,8.14,"React, AWS, AutoCAD",Not Placed,0.0,Not Placed,2025
STU0202,Student 0202,ME,9.67,"React, AutoCAD",Tech Mahindra,5.31,Placed,2022
STU0203,Student 0203,CSE,9.88,"Java, AWS, C++",Microsoft,33.94,Placed,2024
STU0204,Student 0204,EEE,7.89,"AutoCAD, Machine Learning",Not Placed,0.0,Not Placed,2026
STU0205,Student 0205,ME,9.85,"SQL, Data Analysis, Excel, C++",Infosys,6.52,Placed,2026
STU0206,Student 0206,ECE,5.99,"Python, C++, Java",Not Placed,0.0,Not Placed,2026
STU0207,Student 0207,CIVIL,9.43,"Python, Machine Learning",Not Placed,0.0,Not Placed,2023
STU0208,Student 0208,CSE,6.46,Excel,IBM,8.47,Placed,2024
STU0209,Student 0209,ME,5.66,SQL,Not Placed,0.0,Not Placed,2023
STU0210,Student 0210,ME,7.98,Data Analysis,Cognizant,8.4,Placed,2026
STU0211,Student 0211,CIVIL,8.3,C++,Not Placed,0.0,Not Placed,2025
STU0212,Student 0212,CIVIL,7.34,"JavaScript, Excel, Python, React",Not Placed,0.0,Not Placed,2024
STU0213,Student 0213,CSE,6.35,"Java, AWS, Python, Excel",Capgemini,4.0,Placed,2025
STU0214,Student 0214,EEE,6.77,Python,L&T,8.06,Placed,2026
STU0215,Student 0215,EEE,7.06,"Python, C++, AWS",Cognizant,6.73,Placed,2023
STU0216,Student 0216,ISE,8.62,AWS,IBM,10.5,Placed,2024
STU0217,Student 0217,ECE,9.85,Python,L&T,5.06,Placed,2022
STU0218,Student 0218,CSE,7.45,Data Analysis,Not Placed,0.0,Not Placed,2025
STU0219,Student 0219,ME,9.6,SQL,Oracle,16.06,Placed,2024
STU0220,Student 0220,EEE,9.7,Data Analysis,Infosys,6.79,Placed,2022
STU0221,Student 0221,ME,8.09,Python,Tech Mahindra,7.92,Placed,2024
STU0222,Student 0222,CSE,7.81,Python,Not Placed,0.0,Not Placed,2024
STU0223,Student 0223,CIVIL,5.73,"Excel, Python, SQL",Not Placed,0.0,Not Placed,2025
STU0224,Student 0224,ISE,9.0,"C++, Data Analysis, React, JavaScript",Wipro,7.27,Placed,2022
STU0225,Student 0225,ECE,6.43,"C++, AWS",Not Placed,0.0,Not Placed,2023
STU0226,Student 0226,ECE,9.35,"JavaScript, Data Analysis, SQL, Machine Learning",Not Placed,0.0,Not Placed,2025
STU0227,Student 0227,ME,6.38,"JavaScript, AWS, C++",Not Placed,0.0,Not Placed,2024
STU0228,Student 0228,ECE,9.52,"C++, Python",Wipro,7.14,Placed,2023
STU0229,Student 0229,EEE,9.13,Java,Oracle,16.8,Placed,2024
STU0230,Student 0230,CSE,5.53,"React, Java, JavaScript",Not Placed,0.0,Not Placed,2024
STU0231,Student 0231,ISE,6.28,"AWS, JavaScript, Excel, React",Not Placed,0.0,Not Placed,2023
STU0232,Student 0232,ISE,6.47,"Machine Learning, Data Analysis, Excel",L&T,7.77,Placed,2025
STU0233,Student 0233,EEE,7.77,"C++, AWS",Wipro,4.51,Placed,2026
STU0234,Student 0234,ISE,9.23,Python,L&T,8.32,Placed,2022
STU0235,Student 0235,CIVIL,8.12,"C++, React",Microsoft,30.14,Placed,2022
STU0236,Student 0236,ECE,5.67,"SQL, React, Machine Learning, JavaScript",Tech Mahindra,6.66,Placed,2022
STU0237,Student 0237,CIVIL,6.71,"Data Analysis, AWS",Not Placed,0.0,Not Placed,2025
STU0238,Student 0238,ME,6.4,"AWS, C++, Java, SQL",Not Placed,0.0,Not Placed,2022
STU0239,Student 0239,ECE,8.91,Excel,Capgemini,7.15,Placed,2026
STU0240,Student 0240,ISE,7.87,"AWS, SQL, Machine Learning, React",Not Placed,0.0,Not Placed,2025
STU0241,Student 0241,ECE,8.48,"Python, Excel, AWS",Not Placed,0.0,Not Placed,2022
STU0242,Student 0242,ME,6.42,"Java, React, Python, JavaScript",Capgemini,6.32,Placed,2022
STU0243,Student 0243,EEE,9.49,"Machine Learning, Data Analysis, SQL",Cognizant,7.11,Placed,2025
STU0244,Student 0244,ECE,6.78,"Python, C++, Excel, React",Not Placed,0.0,Not Placed,2025
STU0245,Student 0245,EEE,7.19,"SQL, AWS",Not Placed,0.0,Not Placed,2025
STU0246,Student 0246,CSE,6.53,"Data Analysis, Machine Learning",Bosch,7.8,Placed,2023
STU0247,Student 0247,ME,9.36,"Python, AWS, React",Not Placed,0.0,Not Placed,2025
STU0248,Student 0248,CIVIL,7.62,Python,Google,22.44,Placed,2022
STU0249,Student 0249,ME,7.12,"React, C++, Machine Learning, Excel",Oracle,13.82,Placed,2023
STU0250,Student 0250,CSE,6.3,"JavaScript, Java, C++, AutoCAD",Not Placed,0.0,Not Placed,2022
STU0251,Student 0251,ISE,8.97,"React, Java, AWS",Capgemini,4.75,Placed,2022
STU0252,Student 0252,CSE,7.66,Machine Learning,Not Placed,0.0,Not Placed,2026
STU0253,Student 0253,ME,9.73,"Java, JavaScript",Microsoft,27.35,Placed,2023
STU0254,Student 0254,CIVIL,9.44,"Data Analysis, AWS, C++",Accenture,7.4,Placed,2025
STU0255,Student 0255,ME,6.78,"AutoCAD, Java, Machine Learning, JavaScript",Microsoft,16.56,Placed,2024
STU0256,Student 0256,ECE,6.72,"JavaScript, Data Analysis, AWS, Excel",Not Placed,0.0,Not Placed,2022
STU0257,Student 0257,ECE,7.79,"Java, AWS, SQL",Oracle,12.01,Placed,2023
STU0258,Student 0258,EEE,9.0,"React, JavaScript",Not Placed,0.0,Not Placed,2024
STU0259,Student 0259,ISE,6.83,"SQL, Python",Wipro,7.24,Placed,2023
STU0260,Student 0260,ME,7.37,C++,Cognizant,6.39,Placed,2022
STU0261,Student 0261,CIVIL,7.1,"Excel, C++",Accenture,7.5,Placed,2023
STU0262,Student 0262,EEE,8.93,Java,Infosys,4.59,Placed,2022
STU0263,Student 0263,CSE,7.34,"C++, Java",Tech Mahindra,7.35,Placed,2022
STU0264,Student 0264,ISE,6.71,"Java, Excel, AWS",Not Placed,0.0,Not Placed,2023
STU0265,Student 0265,CSE,6.24,"JavaScript, AWS, Java, React",Not Placed,0.0,Not Placed,2026
STU0266,Student 0266,EEE,7.84,"C++, Machine Learning, Data Analysis",Not Placed,0.0,Not Placed,2024
STU0267,Student 0267,ECE,7.34,C++,Microsoft,18.48,Placed,2025
STU0268,Student 0268,ECE,7.49,"JavaScript, AutoCAD, SQL, Python",Not Placed,0.0,Not Placed,2024
STU0269,Student 0269,CIVIL,7.09,Data Analysis,Microsoft,26.37,Placed,2025
STU0270,Student 0270,CIVIL,9.2,"Machine Learning, Data Analysis, Java",Microsoft,19.94,Placed,2024
STU0271,Student 0271,CSE,8.43,React,Infosys,6.1,Placed,2023
STU0272,Student 0272,EEE,5.51,"C++, Python",Not Placed,0.0,Not Placed,2022
STU0273,Student 0273,CSE,8.04,"Java, AutoCAD",Not Placed,0.0,Not Placed,2022
STU0274,Student 0274,CIVIL,9.59,"Excel, Python",Cognizant,7.72,Placed,2022
STU0275,Student 0275,CSE,5.92,Machine Learning,Not Placed,0.0,Not Placed,2022
STU0276,Student 0276,CSE,8.13,"Data Analysis, SQL, C++",Not Placed,0.0,Not Placed,2023
STU0277,Student 0277,ISE,6.85,"React, Excel",Not Placed,0.0,Not Placed,2022
STU0278,Student 0278,ECE,7.42,"Excel, Data Analysis, AWS",Oracle,17.08,Placed,2023
STU0279,Student 0279,ISE,6.26,"Python, AutoCAD",Oracle,16.9,Placed,2022
STU0280,Student 0280,CIVIL,8.13,C++,Not Placed,0.0,Not Placed,2023
STU0281,Student 0281,ME,8.59,"AutoCAD, JavaScript",Bosch,9.22,Placed,2022
STU0282,Student 0282,ECE,7.11,"Python, Machine Learning, AWS, JavaScript",Not Placed,0.0,Not Placed,2023
STU0283,Student 0283,ISE,7.0,"React, Machine Learning, AWS",Tech Mahindra,6.06,Placed,2024
STU0284,Student 0284,CIVIL,6.83,"AWS, JavaScript",Not Placed,0.0,Not Placed,2023
STU0285,Student 0285,EEE,6.55,"React, JavaScript, Machine Learning",Not Placed,0.0,Not Placed,2026
